nation_id,first_name,last_name,position,kit_number,date_of_birth
7,Haris,Tabaković,FW,23,1994-06-20
7,Arjan,Malić,DF,24,2005-08-28
7,Jovo,Lukić,FW,25,1998-11-28
7,Ermin,Mahmić,MF,26,2005-03-14
5,Dayne,St. Clair,GK,1,1997-05-09
5,Alistair,Johnston,DF,2,1998-10-08
5,Alfie,Jones,DF,3,1997-10-07
5,Luc,de Fougerolles,DF,4,2005-10-12
5,Joel,Waterman,DF,5,1996-01-24
5,Mathieu,Choinière,MF,6,1999-02-07
5,Stephen,Eustáquio,MF,7,1996-12-21
5,Ismaël,Koné,MF,8,2002-06-16
5,Cyle,Larin,FW,9,1995-04-17
5,Jonathan,David,FW,10,2000-01-14
5,Liam,Millar,MF,11,1999-09-27
5,Tani,Oluwaseyi,FW,12,2000-05-15
5,Derek,Cornelius,DF,13,1997-11-25
5,Jacob,Shaffelburg,MF,14,1999-11-26
5,Moïse,Bombito,DF,15,2000-03-30
5,Maxime,Crépeau,GK,16,1994-05-11
5,Tajon,Buchanan,FW,17,1999-02-08
5,Owen,Goodman,GK,18,2003-11-27
5,Alphonso,Davies,DF,19,2000-11-02
5,Ali,Ahmed,FW,20,2000-10-10
5,Jonathan,Osorio,MF,21,1992-06-12
5,Richie,Laryea,DF,22,1995-01-07
5,Niko,Sigur,DF,23,2003-09-09
5,Promise,David,FW,24,2001-07-03
5,Nathan,Saliba,MF,25,2004-02-07
5,Jayden,Nelson,FW,26,2002-09-26
8,Mahmud,Abunada,GK,1,2000-02-05
8,Pedro,Miguel,DF,2,1990-08-06
8,Lucas,Mendes,DF,3,1990-07-03
8,Issa,Laye,DF,4,1997-12-22
8,Jassem,Gaber,DF,5,2002-02-20
8,Abdulaziz,Hatem,MF,6,1990-01-01
8,Ahmed,Alaaeldin,FW,7,1993-01-31
8,Edmilson,Junior,FW,8,1994-08-19
8,Mohammed,Muntari,FW,9,1993-12-20
8,Hassan,Al-Haydos,FW,10,1990-12-11
8,Akram,Afif,FW,11,1996-11-18
8,Karim,Boudiaf,MF,12,1990-09-16
8,Ayoub,Al-Oui,DF,13,2005-03-11
8,Homam,Ahmed,DF,14,1999-08-25
8,Yusuf,Abdurisag,FW,15,1999-08-06
8,Boualem,Khoukhi,DF,16,1990-07-09
8,Ahmed,Al-Ganehi,MF,17,2000-09-22
8,Sultan,Al-Brake,DF,18,1996-04-07
8,Almoez,Ali,FW,19,1996-08-19
8,Ahmed,Fathy,MF,20,1993-01-25
8,Salah,Zakaria,GK,21,1999-04-24
8,Meshaal,Barsham,GK,22,1998-02-14
8,Assim,Madibo,MF,23,1996-10-22
8,Tahsin,Jamshid,FW,24,2006-06-16
8,Al-Hashmi,Al-Hussain,DF,25,2003-08-15
8,Mohamed,Manai,FW,26,2002-10-25
6,Gregor,Kobel,GK,1,1997-12-06
6,Miro,Muheim,DF,2,1998-03-24
6,Silvan,Widmer,DF,3,1993-03-05
6,Nico,Elvedi,DF,4,1996-09-30
6,Manuel,Akanji,DF,5,1995-07-19
6,Denis,Zakaria,MF,6,1996-11-20
6,Breel,Embolo,FW,7,1997-02-14
6,Remo,Freuler,MF,8,1992-04-15
6,Johan,Manzambi,MF,9,2005-10-14
6,Granit,Xhaka,MF,10,1992-09-27
6,Dan,Ndoye,FW,11,2000-10-25
6,Yvon,Mvogo,GK,12,1994-06-06
6,Ricardo,Rodriguez,DF,13,1992-08-25
6,Ardon,Jashari,MF,14,2002-07-30
6,Djibril,Sow,MF,15,1997-02-06
6,Christian,Fassnacht,FW,16,1993-11-11
6,Rubén,Vargas,FW,17,1998-08-05
6,Eray,Cömert,DF,18,1998-02-04
6,Noah,Okafor,FW,19,2000-05-24
6,Michel,Aebischer,MF,20,1997-01-06
6,Marvin,Keller,GK,21,2002-07-03
6,Fabian,Rieder,MF,22,2002-02-16
6,Zeki,Amdouni,FW,23,2000-12-04
6,Aurèle,Amenda,DF,24,2003-07-31
6,Luca,Jaquez,DF,25,2003-06-02
6,Cedric,Itten,FW,26,1996-12-27
9,Alisson,,GK,1,1992-10-02
9,Éderson,Silva,MF,2,1999-07-07
9,Gabriel,Magalhães,DF,3,1997-12-19
9,Marquinhos,,DF,4,1994-05-14
9,Casemiro,,MF,5,1992-02-23
9,Alex,Sandro,DF,6,1991-01-26
9,Vinícius,Júnior,FW,7,2000-07-12
9,Bruno,Guimarães,MF,8,1997-11-16
9,Matheus,Cunha,FW,9,1999-05-27
9,Neymar,,FW,10,1992-02-05
9,Raphinha,,FW,11,1996-12-14
9,Weverton,,GK,12,1987-12-13
9,Danilo,Luiz,DF,13,1991-07-15
9,Bremer,,DF,14,1997-03-18
9,Léo,Pereira,DF,15,1996-01-31
9,Douglas,Santos,DF,16,1994-03-22
9,Fabinho,,MF,17,1993-10-23
9,Danilo,Santos,MF,18,2001-04-29
9,Endrick,,FW,19,2006-07-21
9,Lucas,Paquetá,MF,20,1997-08-27
9,Luiz,Henrique,FW,21,2001-01-02
9,Gabriel,Martinelli,FW,22,2001-06-18
9,Ederson,Moraes,GK,23,1993-08-17
9,Roger,Ibañez,DF,24,1998-11-23
9,Igor,Thiago,FW,25,2001-06-26
9,Rayan,,FW,26,2006-08-03
12,Johny,Placide,GK,1,1988-01-29
12,Carlens,Arcus,DF,2,1996-06-28
12,Keeto,Thermoncy,DF,3,2006-03-29
12,Ricardo,Adé,DF,4,1990-05-21
12,Hannes,Delcroix,DF,5,1999-02-28
12,Carl,Sainté,MF,6,2002-08-09
12,Derrick,Etienne Jr.,FW,7,1996-11-25
12,Martin,Expérience,DF,8,1999-03-09
12,Duckens,Nazon,FW,9,1994-04-07
12,Jean-Ricner,Bellegarde,MF,10,1998-06-27
12,Louicius,Deedson,FW,11,2001-02-11
12,Alexandre,Pierre,GK,12,2001-02-25
12,Duke,Lacroix,DF,13,1993-10-14
12,Garven,Metusala,DF,14,1999-12-31
12,Ruben,Providence,FW,15,2001-07-07
12,Lenny,Joseph,FW,16,2000-10-12
12,Danley,Jean Jacques,MF,17,2000-05-20
12,Wilson,Isidor,FW,18,2000-08-27
12,Yassin,Fortuné,FW,19,1999-01-30
12,Frantzdy,Pierrot,FW,20,1995-03-29
12,Josué,Casimir,FW,21,2001-09-24
12,Jean-Kévin,Duverne,DF,22,1997-07-12
12,Josué,Duverger,GK,23,2000-04-27
12,Wilguens,Paugain,DF,24,2001-08-24
12,Dominique,Simon,MF,25,2000-07-29
12,Woodensky,Pierre,MF,26,2004-12-30
10,Yassine,Bounou,GK,1,1991-04-05
10,Achraf,Hakimi,DF,2,1998-11-04
10,Noussair,Mazraoui,DF,3,1997-11-14
10,Sofyan,Amrabat,MF,4,1996-08-21
10,Marwane,Saâdane,DF,5,1992-01-17
10,Ayyoub,Bouaddi,MF,6,2007-10-02
10,Chemsdine,Talbi,MF,7,2005-05-09
10,Azzedine,Ounahi,MF,8,2000-04-19
10,Soufiane,Rahimi,FW,9,1996-06-02
10,Brahim,Díaz,FW,10,1999-08-03
10,Ismael,Saibari,MF,11,2001-01-28
10,Munir,Mohamedi,GK,12,1989-05-10
10,Zakaria,El Ouahdi,DF,13,2001-12-31
10,Issa,Diop,DF,14,1997-01-09
10,Samir,El Mourabet,MF,15,2005-10-06
10,Gessime,Yassine,MF,16,2005-11-22
10,Amine,Sbaï,FW,17,2000-11-05
10,Chadi,Riad,DF,18,2003-06-17
10,Youssef,Belammari,DF,19,1998-09-20
10,Ayoub,El Kaabi,FW,20,1993-06-25
10,Ayoube,Amaimouni,FW,21,2004-11-30
10,Ahmed,Reda Tagnaouti,GK,22,1996-04-05
10,Bilal,El Khannouss,MF,23,2004-05-10
10,Neil,El Aynaoui,MF,24,2001-07-02
10,Redouane,Halhal,DF,25,2003-03-05
10,Anass,Salah-Eddine,DF,26,2002-01-18
11,Angus,Gunn,GK,1,1996-01-22
11,Aaron,Hickey,DF,2,2002-06-10
11,Andy,Robertson,DF,3,1994-03-11
11,Scott,McTominay,MF,4,1996-12-08
11,Grant,Hanley,DF,5,1991-11-20
11,Kieran,Tierney,DF,6,1997-06-05
11,John,McGinn,MF,7,1994-10-18
11,Tyler,Fletcher,MF,8,2007-03-19
11,Lyndon,Dykes,FW,9,1995-10-07
11,Ché,Adams,FW,10,1996-07-13
11,Ryan,Christie,MF,11,1995-02-22
11,Liam,Kelly,GK,12,1996-01-23
11,Jack,Hendry,DF,13,1995-05-07
11,Ross,Stewart,FW,14,1996-07-11
11,John,Souttar,DF,15,1996-09-25
11,Dominic,Hyam,DF,16,1995-12-20
11,Ben,Gannon-Doak,FW,17,2005-11-11
11,George,Hirst,FW,18,1999-02-15
11,Lewis,Ferguson,MF,19,1999-08-24
11,Lawrence,Shankland,FW,20,1995-08-10
11,Craig,Gordon,GK,21,1982-12-31
11,Nathan,Patterson,DF,22,2001-10-16
11,Kenny,McLean,MF,23,1992-01-08
11,Anthony,Ralston,DF,24,1998-11-16
11,Findlay,Curtis,FW,25,2006-06-09
11,Scott,McKenna,DF,26,1996-11-12
14,Mathew,Ryan,GK,1,1992-04-08
14,Miloš,Degenek,DF,2,1994-04-28
14,Alessandro,Circati,DF,3,2003-10-10
14,Jacob,Italiano,DF,4,2001-07-30
14,Jordan,Bos,DF,5,2002-10-29
14,Jason,Geria,DF,6,1993-05-10
14,Mathew,Leckie,FW,7,1991-02-04
14,Connor,Metcalfe,MF,8,1999-11-05
14,Mohamed,Touré,FW,9,2004-03-26
14,Ajdin,Hrustic,FW,10,1996-07-05
14,Awer,Mabil,FW,11,1995-09-15
14,Paul,Izzo,GK,12,1995-01-06
14,Aiden,O'Neill,MF,13,1998-07-04
14,Cammy,Devlin,MF,14,1998-06-07
14,Kai,Trewin,DF,15,2001-05-18
14,Aziz,Behich,DF,16,1990-12-16
14,Nestory,Irankunda,FW,17,2006-02-09
14,Patrick,Beach,GK,18,2003-08-06
14,Harry,Souttar,DF,19,1998-10-22
14,Cristian,Volpato,FW,20,2003-11-15
14,Cameron,Burgess,DF,21,1995-10-21
14,Jackson,Irvine,MF,22,1993-03-07
14,Nishan,Velupillay,FW,23,2001-05-07
14,Paul,Okon-Engstler,MF,24,2005-01-24
14,Lucas,Herrington,DF,25,2007-09-05
14,Tete,Yengi,FW,26,2000-11-28
15,Gatito,Fernández,GK,1,1988-03-29
15,Gustavo,Velázquez,DF,2,1991-04-17
15,Omar,Alderete,DF,3,1996-12-26
15,Juan,José Cáceres,DF,4,2000-06-01
15,Fabián,Balbuena,DF,5,1991-08-23
15,Júnior,Alonso,DF,6,1993-02-09
15,Ramón,Sosa,MF,7,1999-08-31
15,Diego,Gómez,MF,8,2003-03-27
15,Antonio,Sanabria,FW,9,1996-03-04
15,Miguel,Almirón,MF,10,1994-02-10
15,Maurício,,MF,11,2001-06-22
15,Orlando,Gill,GK,12,2000-06-11
15,José,Canale,DF,13,1996-07-20
15,Andrés,Cubas,MF,14,1996-05-11
15,Gustavo,Gómez,DF,15,1993-05-06
15,Damián,Bobadilla,MF,16,2001-07-11
15,Kaku,,FW,17,1995-01-11
15,Álex,Arce,FW,18,1995-06-16
15,Julio,Enciso,FW,19,2004-01-23
15,Braian,Ojeda,MF,20,2000-06-27
15,Gabriel,Ávalos,FW,21,1991-07-09
15,Gastón,Olveira,GK,22,1993-04-21
15,Matías,Galarza,MF,23,2002-02-11
15,Gustavo,Caballero,MF,24,2001-09-21
15,Isidro,Pitta,FW,25,1999-08-14
15,Alexandro,Maidana,DF,26,2005-07-26
16,Mert,Günok,GK,1,1989-03-01
16,Zeki,Çelik,DF,2,1997-02-17
16,Merih,Demiral,DF,3,1998-03-05
16,Çağlar,Söyüncü,DF,4,1996-05-23
16,Salih,Özcan,MF,5,1998-01-11
16,Orkun,Kökçü,MF,6,2000-12-29
16,Kerem,Aktürkoğlu,FW,7,1998-10-21
16,Arda,Güler,FW,8,2005-02-25
16,Deniz,Gül,FW,9,2004-07-02
16,Hakan,Çalhanoğlu,MF,10,1994-02-08
16,Kenan,Yıldız,FW,11,2005-05-04
16,Altay,Bayındır,GK,12,1998-04-14
16,Eren,Elmalı,DF,13,2000-07-07
16,Abdülkerim,Bardakcı,DF,14,1994-09-07
16,Ozan,Kabak,DF,15,2000-03-25
16,İsmail,Yüksek,MF,16,1999-01-26
16,İrfan,Can Kahveci,FW,17,1995-07-15
16,Mert,Müldür,DF,18,1999-04-03
16,Yunus,Akgün,FW,19,2000-07-07
16,Ferdi,Kadıoğlu,DF,20,1999-10-07
16,Barış,Alper Yılmaz,FW,21,2000-05-23
16,Kaan,Ayhan,MF,22,1994-11-10
16,Uğurcan,Çakır,GK,23,1996-04-05
16,Oğuz,Aydın,FW,24,2000-10-27
16,Samet,Akaydin,DF,25,1994-03-13
16,Can,Uzun,FW,26,2005-11-11
13,Matt,Turner,GK,1,1994-06-24
13,Sergiño,Dest,DF,2,2000-11-03
13,Chris,Richards,DF,3,2000-03-28
13,Tyler,Adams,MF,4,1999-02-14
13,Antonee,Robinson,DF,5,1997-08-08
13,Auston,Trusty,DF,6,1998-08-12
13,Giovanni,Reyna,MF,7,2002-11-13
13,Weston,McKennie,MF,8,1998-08-28
13,Ricardo,Pepi,FW,9,2003-01-09
13,Christian,Pulisic,FW,10,1998-09-18
13,Brenden,Aaronson,FW,11,2000-10-22
13,Miles,Robinson,DF,12,1997-03-14
13,Tim,Ream,DF,13,1987-10-05
13,Sebastian,Berhalter,MF,14,2001-05-10
13,Cristian,Roldan,MF,15,1995-06-03
13,Alex,Freeman,DF,16,2004-08-09
13,Malik,Tillman,MF,17,2002-05-28
13,Max,Arfsten,DF,18,2001-04-19
13,Haji,Wright,FW,19,1998-03-27
13,Folarin,Balogun,FW,20,2001-07-03
13,Timothy,Weah,FW,21,2000-02-22
13,Mark,McKenzie,DF,22,1999-02-25
13,Joe,Scally,DF,23,2002-12-31
13,Matt,Freese,GK,24,1998-09-02
13,Chris,Brady,GK,25,2004-03-03
13,Alejandro,Zendejas,FW,26,1998-02-07
20,Eloy,Room,GK,1,1989-02-06
20,Shurandy,Sambo,DF,2,2001-08-19
20,Juriën,Gaari,DF,3,1993-12-23
20,Roshon,van Eijma,DF,4,1998-06-09
20,Sherel,Floranus,DF,5,1998-08-23
20,Godfried,Roemeratoe,MF,6,1999-08-19
20,Juninho,Bacuna,MF,7,1997-08-07
20,Livano,Comenencia,MF,8,2004-02-03
20,Jürgen,Locadia,FW,9,1993-11-07
20,Leandro,Bacuna,MF,10,1991-08-21
20,Jeremy,Antonisse,FW,11,2002-03-29
20,Sontje,Hansen,FW,12,2002-05-18
20,Tyrese,Noslin,FW,13,2002-09-11
20,Kenji,Gorré,FW,14,1994-09-29
20,Ar'jany,Martha,MF,15,2003-09-04
20,Jearl,Margaritha,FW,16,2000-04-10
20,Brandley,Kuwas,FW,17,1992-09-19
20,Armando,Obispo,DF,18,1999-03-05
20,Gervane,Kastaneer,FW,19,1996-06-09
20,Joshua,Brenet,DF,20,1994-03-20
20,Tahith,Chong,MF,21,1999-12-04
20,Kevin,Felida,MF,22,1999-11-11
20,Riechedly,Bazoer,DF,23,1996-10-12
20,Deveron,Fonville,DF,24,2003-05-16
20,Tyrick,Bodak,GK,25,2002-05-15
20,Trevor,Doornbusch,GK,26,1999-07-06
19,Hernán,Galíndez,GK,1,1987-03-30
19,Félix,Torres,DF,2,1997-01-11
19,Piero,Hincapié,DF,3,2002-01-09
19,Joel,Ordóñez,DF,4,2004-04-21
19,Jordy,Alcívar,MF,5,1999-08-05
19,Willian,Pacho,DF,6,2001-10-16
19,Pervis,Estupiñán,DF,7,1998-01-21
19,Anthony,Valencia,MF,8,2003-07-21
19,John,Yeboah,FW,9,2000-06-23
19,Kendry,Páez,MF,10,2007-05-04
19,Kevin,Rodríguez,FW,11,2000-03-04
19,Moisés,Ramírez,GK,12,2000-09-09
19,Enner,Valencia,FW,13,1989-11-04
19,Alan,Minda,MF,14,2003-05-14
19,Pedro,Vite,MF,15,2002-03-09
19,Jordy,Caicedo,FW,16,1997-11-18
19,Ángelo,Preciado,DF,17,1998-02-18
19,Denil,Castillo,MF,18,2004-03-24
19,Gonzalo,Plata,FW,19,2000-11-01
19,Nilson,Angulo,FW,20,2003-06-19
19,Alan,Franco,MF,21,1998-08-21
19,Gonzalo,Valle,GK,22,1996-02-28
19,Moisés,Caicedo,MF,23,2001-11-02
19,Jeremy,Arévalo,FW,24,2005-03-19
19,Jackson,Porozo,DF,25,2000-08-04
19,Yaimar,Medina,DF,26,2004-11-05
17,Manuel,Neuer,GK,1,1986-03-27
17,Antonio,Rüdiger,DF,2,1993-03-03
17,Waldemar,Anton,DF,3,1996-07-20
17,Jonathan,Tah,DF,4,1996-02-11
17,Aleksandar,Pavlović,MF,5,2004-05-03
17,Joshua,Kimmich,DF,6,1995-02-08
17,Kai,Havertz,FW,7,1999-06-11
17,Leon,Goretzka,MF,8,1995-02-06
17,Jamie,Leweling,MF,9,2001-02-26
17,Jamal,Musiala,MF,10,2003-02-26
17,Nick,Woltemade,FW,11,2002-02-14
17,Oliver,Baumann,GK,12,1990-06-02
17,Pascal,Groß,MF,13,1991-06-15
17,Maximilian,Beier,FW,14,2002-10-17
17,Nico,Schlotterbeck,DF,15,1999-12-01
17,Angelo,Stiller,MF,16,2001-04-04
17,Florian,Wirtz,MF,17,2003-05-03
17,Nathaniel,Brown,DF,18,2003-06-16
17,Leroy,Sané,MF,19,1996-01-11
17,Nadiem,Amiri,MF,20,1996-10-27
17,Alexander,Nübel,GK,21,1996-09-30
17,David,Raum,DF,22,1998-04-22
17,Felix,Nmecha,MF,23,2000-10-10
17,Malick,Thiaw,DF,24,2001-08-08
17,Assan,Ouédraogo,MF,25,2006-05-09
17,Deniz,Undav,FW,26,1996-07-19
18,Yahia,Fofana,GK,1,2000-08-21
18,Ousmane,Diomande,DF,2,2003-12-04
18,Ghislain,Konan,DF,3,1995-12-27
18,Jean,Michaël Seri,MF,4,1991-07-19
18,Wilfried,Singo,DF,5,2000-12-25
18,Seko,Fofana,MF,6,1995-05-07
18,Odilon,Kossounou,DF,7,2001-01-04
18,Franck,Kessié,MF,8,1996-12-19
18,Ange-Yoan,Bonny,FW,9,2003-10-25
18,Simon,Adingra,FW,10,2002-01-01
18,Yan,Diomande,FW,11,2006-11-14
18,Elye,Wahi,FW,12,2003-01-02
18,Christopher,Opéri,DF,13,1997-04-29
18,Oumar,Diakité,FW,14,2003-12-20
18,Amad,Diallo,FW,15,2002-07-11
18,Mohamed,Koné,GK,16,2002-03-07
18,Guéla,Doué,DF,17,2002-10-17
18,Ibrahim,Sangaré,MF,18,1997-12-02
18,Nicolas,Pépé,FW,19,1995-05-29
18,Emmanuel,Agbadou,DF,20,1997-06-17
18,Evan,Ndicka,DF,21,1999-08-20
18,Evann,Guessand,FW,22,2001-07-01
18,Alban,Lafont,GK,23,1999-01-23
18,Bazoumana,Touré,FW,24,2006-03-02
18,Parfait,Guiagon,MF,25,2001-02-22
18,Christ,Inao Oulaï,MF,26,2006-04-06
23,Zion,Suzuki,GK,1,2002-08-21
23,Yukinari,Sugawara,DF,2,2000-06-28
23,Shōgo,Taniguchi,DF,3,1991-07-15
23,Kō,Itakura,DF,4,1997-01-27
23,Yūto,Nagatomo,DF,5,1986-09-12
23,Shūto,Machino,FW,6,1999-09-30
23,Ao,Tanaka,MF,7,1998-09-10
23,Takefusa,Kubo,MF,8,2001-06-04
23,Keisuke,Gotō,FW,9,2005-06-03
23,Ritsu,Dōan,MF,10,1998-06-16
23,Daizen,Maeda,MF,11,1997-10-20
23,Keisuke,Ōsako,GK,12,1999-07-28
23,Keito,Nakamura,MF,13,2000-07-28
23,Junya,Itō,MF,14,1993-03-09
23,Daichi,Kamada,MF,15,1996-08-05
23,Tsuyoshi,Watanabe,DF,16,1997-02-05
23,Yuito,Suzuki,MF,17,2001-10-25
23,Ayase,Ueda,FW,18,1998-08-28
23,Kōki,Ogawa,FW,19,1997-08-08
23,Ayumu,Seko,DF,20,2000-06-07
23,Hiroki,Itō,DF,21,1999-05-12
23,Takehiro,Tomiyasu,DF,22,1998-11-05
23,Tomoki,Hayakawa,GK,23,1999-03-03
23,Kaishū,Sano,MF,24,2000-12-30
23,Junnosuke,Suzuki,DF,25,2003-07-12
23,Kento,Shiogai,FW,26,2005-03-26
21,Bart,Verbruggen,GK,1,2002-08-18
21,Lutsharel,Geertruida,DF,2,2000-07-18
21,Marten,de Roon,MF,3,1991-03-29
21,Virgil,van Dijk,DF,4,1991-07-08
21,Nathan,Aké,DF,5,1995-02-18
21,Jan,Paul van Hecke,DF,6,2000-06-08
21,Justin,Kluivert,MF,7,1999-05-05
21,Ryan,Gravenberch,MF,8,2002-05-16
21,Wout,Weghorst,FW,9,1992-08-07
21,Memphis,Depay,FW,10,1994-02-13
21,Cody,Gakpo,FW,11,1999-05-07
21,Mats,Wieffer,DF,12,1999-11-16
21,Robin,Roefs,GK,13,2003-01-17
21,Tijjani,Reijnders,MF,14,1998-07-29
21,Micky,van de Ven,DF,15,2001-04-19
21,Guus,Til,MF,16,1997-12-22
21,Noa,Lang,FW,17,1999-06-17
21,Donyell,Malen,FW,18,1999-01-19
21,Brian,Brobbey,FW,19,2002-02-01
21,Teun,Koopmeiners,MF,20,1998-02-28
21,Frenkie,de Jong,MF,21,1997-05-12
21,Denzel,Dumfries,DF,22,1996-04-18
21,Mark,Flekken,GK,23,1993-06-13
21,Crysencio,Summerville,FW,24,2001-10-30
21,Jorrel,Hato,DF,25,2006-03-07
21,Quinten,Timber,MF,26,2001-06-17
22,Jacob,Widell Zetterström,GK,1,1998-07-11
